Date,Lag_.GSPC,X.GSPC,X.HSI,X.N225,X.DJI,X.GDAXI,JNJ,MSFT,GE,PG,XOM
11/13/91,-6.54E-04,0.372253403,-0.827922022,-1.249423045,0.648760386,-0.608257828,-1.252434289,1.707654534,1.147040113,-0.073065772,0.135394521
11/14/91,-0.037271711,-0.21581836,1.342121664,-0.484268066,-0.208414985,0.620500429,0.654457909,-1.986625466,0.980896486,0.321258673,-1.024108283
11/15/91,0.006824174,-0.233666796,1.121966484,0.297153702,-0.422837587,2.286900786,-0.954117101,-0.673590175,-0.660016113,-0.157586267,-0.604206933
11/18/91,-0.015222686,-0.359415959,0.313188392,-1.18945087,-0.096419833,-2.024829468,1.253618994,1.022653797,0.603922297,-0.038191216,0.514923866
11/19/91,-0.002348478,-0.695864472,-0.581598887,0.453561388,-0.544764089,-0.082715367,-0.743225668,-0.12057484,0.235315824,-0.522592136,2.602458248
11/20/91,0.004033802,0.44193979,1.417396111,-3,0.613297724,0,-0.332301974,0.908253657,-0.907594541,0.081099498,-0.341289804
11/21/91,-0.010367675,0.379529691,0.09507349,-3,-0.057918431,0,1.293902739,0.899547608,-0.710256825,-0.620858239,0.711844428
11/22/91,-0.002129183,-0.1484266,0.813897001,-0.233535255,-0.129601053,1.402041919,1.069522535,-0.635603682,0.749298948,-1.449546005,-1.438047808
11/25/91,0.006956075,-0.294457214,-0.523261033,0.977513801,-0.104570119,-0.638892982,-0.742589777,-0.472987763,-1.027868341,2.261166578,0.56594685
11/26/91,-0.003737537,1.071883178,-0.852796832,-0.943370007,0.74333909,1.220607119,-0.420459692,-1.845523361,-0.00809257,0.709051242,0.325361834
11/27/91,0,-0.353880323,-0.854900694,-0.893318039,-0.560639919,-0.906239271,2.196056456,0.984465951,-0.362136741,0.428375809,0.32221677
11/28/91,-0.003538285,0,0.774393436,-3,0,0.354582295,0,0,0,0,0
11/29/91,0.016336154,0.092889869,-0.621303429,-1.896226499,0.214663968,-0.421830816,0.817433791,1.846943261,-0.482584283,-0.206336975,0.656351112
12/2/91,-0.001154318,0.161622177,-0.503587381,-0.459064716,-0.013137379,-2.04360139,0.751165759,1.926358999,0.087261022,0.198168727,-0.105185818
12/3/91,-0.002338894,-0.308711451,0.671426279,1.971541069,-0.389020492,-0.225155134,0.656195492,-0.077697757,-1.053878406,0.388330744,-1.633030343
12/4/91,-0.007076289,-0.051626032,0.080886978,-0.773615696,-0.443307877,0.542881582,1.86392539,0.826069285,-1.626252534,0.501855762,-0.920816857
12/5/91,0.004520863,-0.190678153,1.752009206,0.648024253,-0.282885186,0.969670958,-0.886100469,0.410585921,-1.595387327,0.141618127,-0.96685733
12/6/91,-0.002218222,-0.304809243,-0.421382837,-1.036776442,-0.766934285,-0.80832189,1.508179158,1.369336251,1.326111461,-0.177425008,-0.687977167
12/9/91,-9.52E-04,0.582362081,-0.751765599,-0.757530806,0.336477481,1.011934842,-0.580886597,-1.076713138,2.085018307,-0.124226456,-0.724670115
12/10/91,-5.29E-04,-0.063150038,-0.549828601,-1.518606051,-0.194075816,-0.529376737,2.427257805,-0.173716726,0.148621816,0.118647788,0.33422656
12/11/91,0.010141611,-0.054392678,-0.026883227,1.136592737,0.070590399,-0.327745734,-1.960709946,-1.142312912,1.342600523,0.183419144,0.778841694
12/12/91,0.007623893,-0.336601468,0.017664332,2.70489587,-0.321088544,-0.84323696,-0.273590742,-0.155432589,-0.08181937,-0.801187903,0.090397374
