Date,Lag_GSPC,GSPC
1992-06-23,-4.95E-04,0.001586552
1992-06-24,-0.001782887,-4.95E-04
1992-06-25,8.19E-04,-0.001782887
1992-06-26,0.013607609,8.19E-04
1992-06-29,-0.001956245,0.013607609
1992-06-30,0.011613637,-0.001956245
1992-07-01,-0.002688471,0.011613637
1992-07-02,0,-0.002688471
1992-07-03,0.005027095,0
1992-07-06,-0.011308699,0.005027095
1992-07-07,0.002737303,-0.011308699
1992-07-08,0.009627601,0.002737303
1992-07-09,9.41E-04,0.009627601
1992-07-10,6.03E-04,9.41E-04
1992-07-13,0.006773201,6.03E-04
1992-07-14,-0.001388592,0.006773201
1992-07-15,0.00105491,-0.001388592
1992-07-16,-0.004598395,0.00105491
1992-07-17,-0.00449929,-0.004598395
1992-07-20,2.42E-05,-0.00449929
1992-07-21,-0.006839755,2.42E-05
1992-07-22,0.002798516,-0.006839755
1992-07-23,-0.001164776,0.002798516
1992-07-24,-1.46E-04,-0.001164776
1992-07-27,0.014530738,-1.46E-04
1992-07-28,0.01128095,0.014530738
1992-07-29,0.004002562,0.01128095
1992-07-30,6.84E-04,0.004002562
1992-07-31,0.002074456,6.84E-04
1992-08-03,-0.001717309,0.002074456
1992-08-04,-0.005113543,-0.001717309
1992-08-05,-0.003789777,-0.005113543
1992-08-06,-0.004065696,-0.003789777
1992-08-07,0.001289171,-0.004065696
1992-08-10,-0.001239853,0.001289171
1992-08-11,-0.002673657,-0.001239853
1992-08-12,-1.20E-04,-0.002673657
1992-08-13,0.005218665,-1.20E-04
1992-08-14,0.001976581,0.005218665
1992-08-17,0.001426073,0.001976581
1992-08-18,-0.007476133,0.001426073
1992-08-19,1.67E-04,-0.007476133
1992-08-20,-0.008152833,1.67E-04
1992-08-21,-0.009955417,-0.008152833
1992-08-24,0.002166887,-0.009955417
1992-08-25,0.004616081,0.002166887
1992-08-26,4.83E-05,0.004616081
1992-08-27,0.00316784,4.83E-05
1992-08-28,-0.001952553,0.00316784
1992-08-31,0.004927199,-0.001952553
1992-09-01,0.004590583,0.004927199
1992-09-02,0,0.004590583
1992-09-03,-0.00215327,0
1992-09-04,0,-0.00215327
1992-09-07,-0.006329685,0
1992-09-08,0.004632716,-0.006329685
1992-09-09,0.008622411,0.004632716
1992-09-10,-8.81E-04,0.008622411
1992-09-11,0.013561185,-8.81E-04
1992-09-14,-0.012932961,0.013561185
1992-09-15,3.57E-04,-0.012932961
1992-09-16,2.38E-05,3.57E-04
1992-09-17,0.007144048,2.38E-05
1992-09-18,-0.001867869,0.007144048
1992-09-21,-0.011844411,-0.001867869
1992-09-22,7.19E-04,-0.011844411
1992-09-23,0.002467418,7.19E-04
1992-09-24,-0.009845377,0.002467418
1992-09-25,0.005478434,-0.009845377
1992-09-28,4.32E-04,0.005478434
1992-09-29,0.002399232,4.32E-04
1992-09-30,-0.003614119,0.002399232
1992-10-01,-0.013980657,-0.003614119
1992-10-02,-0.007065057,-0.013980657
1992-10-05,-9.57E-04,-0.007065057
1992-10-06,-0.007195818,-9.57E-04
1992-10-07,0.008658009,-0.007195818
1992-10-08,-0.012483129,0.008658009
1992-10-09,0.011871052,-0.012483129
1992-10-12,0.004565055,0.011871052
1992-10-13,1.71E-04,0.004565055
1992-10-14,5.62E-04,1.71E-04
1992-10-15,0.005200207,5.62E-04
1992-10-16,0.007893522,0.005200207
1992-10-19,0.001204877,0.007893522
1992-10-20,4.57E-04,0.001204877
1992-10-21,-0.001852477,4.57E-04
1992-10-22,-0.001928147,-0.001852477
1992-10-23,0.00980439,-0.001928147
1992-10-26,7.89E-04,0.00980439
1992-10-27,0.003918887,7.89E-04
1992-10-28,0.00173751,0.003918887
1992-10-29,-0.005179851,0.00173751
1992-10-30,0.009721045,-0.005179851
1992-11-02,-0.006694233,0.009721045
1992-11-03,-0.006691817,-0.006694233
1992-11-04,0.002948889,-0.006691817
1992-11-05,-0.001816726,0.002948889
1992-11-06,0.00241872,-0.001816726
1992-11-09,7.17E-05,0.00241872
1992-11-10,0.008551949,7.17E-05
1992-11-11,0.001586885,0.008551949
1992-11-12,-0.001040514,0.001586885
1992-11-13,-0.004142698,-0.001040514
1992-11-16,-0.003351726,-0.004142698
1992-11-17,0.008538691,-0.003351726
1992-11-18,0.001797278,0.008538691
1992-11-19,0.007176434,0.001797278
1992-11-20,-0.003586075,0.007176434
1992-11-23,0.005810127,-0.003586075
1992-11-24,0.003741916,0.005810127
1992-11-25,0,0.003741916
1992-11-26,0.002260076,0
1992-11-27,0.002766417,0.002260076
1992-11-30,-0.001321449,0.002766417
1992-12-01,-0.002065983,-0.001321449
1992-12-02,4.65E-05,-0.002065983
1992-12-03,0.005001033,4.65E-05
1992-12-04,0.007522103,0.005001033
1992-12-07,0.0038593,0.007522103
