date,AIG,BAC,BCS,C,CS,GS,JPM,LFC,MET,MS,RBS,SAN,TD,V,WFC
20100225,-0.0996,0.013472,-0.008863,-0.017391,0.013164,-0.011937,-0.005141,-0.006845,0.007024,-0.003234,0.070081,0.002071,0.005889,-0.004671,-0.007954
20100226,0.040775,0.006647,0.008417,0.00295,-0.000896,0.001662,0.032726,-0.004195,0.015346,0.015862,-0.031066,0.018439,0.010918,0.000587,-0.003644
20100301,-0.029092,0.003001,-0.017736,-0.002941,0.016592,0.001215,-0.003336,0.023774,0.004122,0.000355,-0.051127,0.001405,0.013617,0.018058,0.000366
20100302,-0.005993,-0.014961,0.021774,0.00295,0.008602,0.014118,-0.00502,0.004262,0.006842,0.018092,0.025571,0.026808,0.016677,-0.004262,0.019013
20100303,0.073553,-0.00486,0.02131,0,0.008528,-0.006488,-0.002162,-0.004244,-0.001087,-0.01324,0.007124,-0.002125,0.005468,0.004049,0.011841
20100304,0.051292,0.001833,0.01883,0.008824,0.00477,0.037345,0.009391,-0.011611,0.037007,0.031073,0.045093,0.022057,0.022357,0.002765,0.008156
20100305,0.036325,0.018293,0.035964,0.020408,0.039275,0.02182,0.021231,0.006245,0.021254,0.007192,0.025381,0.018753,0.017878,0.016889,0.025325
20100308,0.126117,0.002395,-0.000482,0.017143,0.002907,0.015911,-0.005139,0.010788,0.050874,0.00578,-0.023102,0.004383,0.001452,0.023952,-0.008919
20100309,0.10589,0.003584,0.00193,0.073034,-0.001449,-0.005829,-0.003992,0.031433,-0.0022,-0.017918,-0.009291,0.006982,-0.006523,-0.005296,0.003115
20100310,-0.031181,0.018452,-0.004815,0.036649,0.014928,0.0183,0.012023,0.007796,0.023769,0.03167,0.025575,0.008667,0.009775,0.015197,0.020359
20100311,-0.025064,0.000584,0.012579,0.055556,0.013279,0.009131,0.005823,-0.008158,0.012925,0.001668,0.024106,0.003151,0.008236,0.01333,0.006425
20100312,0.002629,-0.015771,0.018156,-0.050239,0.004637,0.008357,-0.000695,-0.000993,-0.004962,-0.003664,0.046266,-0.019272,0.014474,0.005499,-0.004368
20100315,-0.020688,0,-0.005162,-0.020151,-0.000401,-0.008173,-0.001854,-0.004968,0.003325,-0.009027,0.005431,-0.009316,0.014691,-0.009008,0.008775
20100316,0.023802,0.010683,0.032075,0.041131,0.025095,0.015329,0.003947,0.005849,0.010414,0.022605,0.018519,0.001763,0.029653,-0.008224,0.013048
20100317,0.006684,0.014093,0.004113,0,0.020368,0.002554,0.01272,0.018862,0.007964,-0.00099,0.006818,0.001173,-0.003245,-0.001528,0.008917
20100318,0.004619,-0.011002,-0.011379,-0.007407,-0.003839,0.004586,-0.003425,-0.003341,-0.013479,-0.006605,-0.030098,-0.00337,-0.007325,-0.01508,-0.008511
20100319,-0.040517,-0.015222,-0.002762,-0.029851,-0.008671,0.002536,-0.004354,-0.009776,-0.014605,-0.01496,0.019395,-0.011318,0.004509,-0.014313,0.002971
20100322,-0.003294,0.008323,-0.006002,0.035897,-0.013994,-0.009795,0.006674,-0.008039,-0.00263,-0.001012,0.019787,-0.00446,0.008842,0.004502,0.000988
20100323,-0.003305,0.010024,0.007431,0.022277,0.001183,-0.007536,0.019204,-0.005545,0.010786,-0.002365,-0.003731,0.010753,0.010248,0.008292,0.022032
20100324,0.040398,0.025686,-0.017059,0.004843,-0.019295,-0.002402,0.008075,-0.012868,-0.005928,-0.005418,-0.007491,-0.016992,-0.010945,-0.01367,-0.007078
20100325,-0.008693,0.009676,0.010319,0.028916,-0.005019,0.002809,0,-0.009415,0.004533,-0.015662,0.003774,0.012776,0.007018,0.018704,0.006481
20100326,0.007016,0.009019,0.014392,0.009368,0.011501,-0.011607,0.00178,0.027051,0.003562,-0.002075,0.023308,-0.025527,-0.007639,-0.00177,0.005151
20100329,-0.007547,0.007821,0.010526,-0.030162,0.019749,0.006826,-0.003554,0.015518,0.017511,0.020104,-0.013226,0.00533,0.000135,-0.000111,-0.003844
20100330,-0.001462,-0.015521,-0.017663,-0.021531,0.002543,-0.01534,-0.006242,0.002804,-0.003023,-0.007475,-0.020104,0.019088,0.005941,0.008422,-0.00836
20100331,-0.000879,0.005068,0.002766,-0.00978,0.002537,-0.004376,0.003813,0.00713,0.010963,0.002739,0.006079,0.014122,0.001074,0.00033,0.009079
20100401,0.027851,0.010644,0.013793,0.032099,0.003893,-0.002403,0.010726,0.024986,0.015459,-0.003073,0.04003,0.01847,0.00711,0.016698,0.008033
20100405,0.024244,0.004989,0.012698,0.019139,0.003684,0.017272,0.003541,0.012866,0.021359,0.003082,0.016703,0.011802,-0.011274,-0.000864,0.004463
20100406,0.105263,0.019857,-0.003583,0.007042,-0.007533,-0.001502,0.011028,-0.003878,-0.002447,0.00239,-0.012143,0.003129,0.006108,-0.000757,0.024437
20100407,-0.05291,0.007031,-0.012584,0.016317,-0.028805,0.020012,-0.011344,-0.015571,-0.016949,0.02248,-0.011569,0.012479,-0.014976,-0.01829,-0.008984
20100408,0.014632,0.001611,0.005007,0.025229,-0.006012,0.017804,0.009709,0.001909,0.032214,0.028648,-0.00951,0,0.011094,0.008599,0.007502
20100409,0.080755,-0.003217,-0.003623,0.017897,0.022581,-0.002117,0.004808,0.006805,-0.005055,0.003238,0.013294,0.006723,0.000813,0.011258,0.002172
20100412,-0.025958,0.003765,0.015909,0.01978,0.011632,-0.007146,0.00348,-0.007705,0.007952,-0.001614,0.00656,-0.021703,0.004061,0.007242,0.003715
20100413,-0.010212,0.000536,0.002685,-0.00431,0.003703,0.007928,-0.005852,-0.000954,-0.003726,-0.014549,-0.000724,-0.012514,0.002966,-0.004292,-0.008328
20100414,0.006039,0.0391,0.042838,0.0671,0.027379,0.031632,0.040549,0.010226,0.021337,0.021654,0.030435,0.006192,0.030107,0.015842,0.035148
20100415,-0.02076,0.004124,0.012409,-0.024341,0.002835,-0.003515,0.001676,-0.013092,-0.003446,-0.008349,0.004923,-0.00916,0.000131,0.002016,0.006911
20100416,-0.001533,-0.054928,-0.031699,-0.051975,-0.025254,-0.12791,-0.04727,-0.020788,-0.019451,-0.055699,0.053184,-0.011267,-0.01983,-0.006353,-0.02835
20100419,0.064978,-0.001086,-0.003928,0.070175,0.004834,0.016304,-0.003513,-0.006704,0.013445,0.013717,0.037209,-0.016508,0.007454,-0.007778,0.014128
