Date,^GSPC,^GSPC,^VIX,^RUT,^GDAXI,^N225,^HSI,^BFX,^MXX
11/13/91,-6.54E-04,,-0.006410256,1.06E-04,-0.005283745,-0.010195506,-0.002986173,0.001899055,0.0055348
11/14/91,-0.036585671,-6.54E-04,7.17E-04,-0.001169889,0.007317674,-0.009816888,-0.006839139,6.32E-04,0.004059464
11/15/91,0.006847512,-0.036585671,0.517191977,-0.032477935,-6.76E-05,-0.00319977,0.014247383,2.71E-04,-0.009388112
11/18/91,-0.015107406,0.006847512,-0.136921577,-3.30E-04,-0.013073394,-0.029007649,-0.017114137,-0.007575096,-0.02054507
11/19/91,-0.010314116,-0.015107406,0.112691405,-0.022624688,-0.009964502,-0.003130743,0.015006431,-0.001363017,-0.035878273
11/22/91,-0.003730562,-0.010314116,0.109366818,-0.007720308,-0.002189296,-0.002608061,0.002007273,0.003754901,-0.008430055
11/27/91,-0.003532033,-0.003730562,0.002020253,-3.42E-04,-0.008506402,-0.006005971,-0.005425928,-0.003793814,0.004687976
11/29/91,0.016470319,-0.003532033,0.021169355,0.004842702,-0.010617654,-0.00408554,0.001013052,-0.001587666,0.004790923
12/2/91,-0.001153652,0.016470319,-0.003948667,0.001587566,-0.013525899,-0.030636481,-0.013350018,-0.009073007,-0.00635741
12/3/91,-0.002336161,-0.001153652,-0.023785877,0.004245684,-2.90E-04,0.007936464,0.007327081,0.007551444,-0.00305371
12/4/91,-0.007051311,-0.002336161,-0.008121827,0.002367604,0.003414338,0.02267394,0.009019541,0.009555885,7.30E-05
12/5/91,0.004531098,-0.007051311,0.033265096,-0.003318024,0.001846072,-0.009275462,-0.001057262,-0.007516682,-0.007365345
12/6/91,-5.29E-04,0.004531098,-0.056958888,0.001749123,-0.001418897,-6.28E-04,0.007889879,-0.003179078,-4.41E-04
12/11/91,-2.60E-05,-5.29E-04,0.034188086,-0.006144055,-0.002873829,-0.020505576,-0.007533273,0.002834199,-0.023993905
12/16/91,-0.00447381,-2.60E-05,-0.014541276,0.00591551,-0.003371804,0.003593491,0.003898495,-0.004622781,0.015916194
12/17/91,0.001933482,-0.00447381,0.028376843,-0.004984592,0.007159511,-0.0043956,0.003188102,-4.64E-04,4.45E-04
12/18/91,-0.002503447,0.001933482,-0.018763796,-0.001632382,0.004728429,-0.004679245,-0.001744278,-0.003252486,-0.006679531
12/19/91,0.011816428,-0.002503447,0.010123621,-0.006596369,-0.007017869,-0.028224205,0.001220674,-0.002517203,-0.004109384
12/20/91,-0.001339834,0.011816428,-0.017260524,-7.38E-04,-0.008587416,-0.009734367,-0.009610717,0.002056222,0.003301092
1/7/92,0.001677077,-0.001339834,0.01424056,0.007410086,-0.006879782,-0.009864598,0.009496146,0.001358081,0.008760628
1/8/92,-0.001172019,0.001677077,-0.026521113,0.01179955,-0.007511041,-0.036127324,-0.002345893,0.003345344,0.020398496
1/9/92,-0.006010342,-0.001172019,0.012820514,0.012570704,0.01103887,0.017549664,-7.38E-04,-0.001621994,0.009170697
1/10/92,-0.001830908,-0.006010342,-0.02689863,-0.006282141,0.009179891,-0.031658372,0.00332216,-8.12E-04,-0.003138028
1/13/92,0.014722223,-0.001830908,-0.023848291,0.002759535,0.004108268,-0.030606919,-0.005288694,7.23E-04,0.00668937
1/14/92,0.001554229,0.014722223,-0.055524708,0.012458746,0.005591076,0.003607503,0.009639658,0.006409076,0.01908798
1/17/92,-0.005968582,0.001554229,-0.07482988,0.003278042,0.003124875,-0.01345631,0.009700551,0.006615002,-0.00454751
1/20/92,-0.008934504,-0.005968582,0.006127451,-0.003706208,0.00949504,-0.019114571,0.012480662,0.004582835,-8.25E-04
1/21/92,0.013304551,-0.008934504,0.09135201,-0.016446407,0.001145264,-0.002654682,0.002593991,0.017128508,-0.011239568
1/22/92,-0.007581408,0.013304551,-0.065290179,0.013785234,-0.004113606,0.032400451,0.006302242,-0.004146486,0.004688233
1/23/92,0.001253181,-0.007581408,-0.017313493,0.004663477,-0.004934165,0.00216408,0.016502869,0.00577832,0.019496292
1/24/92,-0.001179409,0.001253181,-0.013365675,0.003713447,-0.00138766,-0.023565956,-0.005555733,-0.004562373,0.005580303
1/27/92,-7.23E-05,-0.001179409,0.026477833,-0.001752507,0.010296337,-0.003086587,-0.009869329,0.00432872,-0.007918738
1/28/92,-0.011133591,-7.23E-05,0.059988002,-3.90E-04,-7.11E-04,0.018251448,0.006937802,4.23E-04,0.007541952
1/29/92,0.003119362,-0.011133591,-0.002829598,-0.005415167,-0.008602737,-0.001321135,-0.003314155,-0.001689475,0.005489394
1/30/92,-0.006899558,0.003119362,-0.007378036,0.004905087,0.007211237,0.009147448,8.75E-05,-0.004484726,0.007196461
1/31/92,0.001834728,-0.006899558,-0.005145798,0.001415576,0.001568507,0.021587716,0.006627979,0.00314488,0
2/3/92,0.006519237,0.001834728,0.045977069,0.00346067,-2.37E-05,0.005291686,0.015276695,-0.002033471,6.16E-04
2/10/92,-0.008246837,0.006519237,0.002701189,0.002142027,-0.001695721,-0.013009366,0.004712017,-0.002647967,0.018395998
