Date,Lag Ret,Ret
2007-09-18,-0.001065,0.018134
2007-09-19,-0.003267,-0.001065
2007-09-20,0.027368,-0.003267
2007-09-21,0.028651,0.027368
2007-09-24,0.033046,0.028651
2007-09-25,-0.002677,0.033046
2007-09-26,0.011324,-0.002677
2007-09-27,-0.006667,0.011324
2007-09-28,0.018694,-0.006667
2007-10-01,0.013503,0.018694
2007-10-02,-0.003344,0.013503
2007-10-03,-0.010639,-0.003344
2007-10-04,0.033345,-0.010639
2007-10-05,0.040013,0.033345
2007-10-08,-0.000298,0.040013
2007-10-09,-0.006374,-0.000298
2007-10-10,-0.02734,-0.006374
2007-10-11,0.030967,-0.02734
2007-10-12,-0.001636,0.030967
2007-10-15,0.015571,-0.001636
2007-10-16,0.018693,0.015571
2007-10-17,0.004342,0.018693
2007-10-18,-0.017752,0.004342
2007-10-19,0.023119,-0.017752
2007-10-22,0.067676,0.023119
2007-10-23,-0.001236,0.067676
2007-10-24,-0.016942,-0.001236
2007-10-25,0.010504,-0.016942
2007-10-26,0.002112,0.010504
2007-10-29,0.010319,0.002112
2007-10-30,0.015775,0.010319
2007-10-31,-0.013214,0.015775
2007-11-01,0.002294,-0.013214
2007-11-02,-0.008996,0.002294
2007-11-05,0.030132,-0.008996
2007-11-06,-0.028626,0.030132
2007-11-07,-0.058151,-0.028626
2007-11-08,-0.05754,-0.058151
2007-11-09,-0.070206,-0.05754
2007-11-12,0.105359,-0.070206
2007-11-13,-0.022652,0.105359
2007-11-14,-0.010896,-0.022652
2007-11-15,0.012721,-0.010896
2007-11-16,-0.014664,0.012721
2007-11-19,0.029887,-0.014664
2007-11-20,-0.00231,0.029887
2007-11-21,0.018283,-0.00231
2007-11-23,0.005841,0.018283
2007-11-26,0.013145,0.005841
2007-11-27,0.030948,0.013145
2007-11-28,0.022583,0.030948
2007-11-29,-0.011232,0.022583
2007-11-30,-0.018439,-0.011232
2007-12-03,0.005311,-0.018439
2007-12-04,0.031645,0.005311
2007-12-05,0.024004,0.031645
2007-12-06,0.022886,0.024004
2007-12-07,-0.000463,0.022886
2007-12-10,-0.029193,-0.000463
2007-12-11,0.012303,-0.029193
2007-12-12,0.005082,0.012303
2007-12-13,-0.007507,0.005082
2007-12-14,-0.031462,-0.007507
2007-12-17,-0.007701,-0.031462
2007-12-18,0.000765,-0.007701
2007-12-19,0.022335,0.000765
2007-12-20,0.035789,0.022335
2007-12-21,0.025218,0.035789
2007-12-24,0.000754,0.025218
2007-12-26,-0.00191,0.000754
2007-12-27,0.006345,-0.00191
2007-12-28,-0.008757,0.006345
2007-12-31,-0.016357,-0.008757
2008-01-02,0.000462,-0.016357
2008-01-03,-0.076335,0.000462
2008-01-04,-0.013385,-0.076335
2008-01-07,-0.035972,-0.013385
2008-01-08,0.047591,-0.035972
2008-01-09,-0.007692,0.047591
2008-01-10,-0.02994,-0.007692
2008-01-11,0.035265,-0.02994
2008-01-14,-0.05448,0.035265
2008-01-15,-0.055608,-0.05448
2008-01-16,0.00783,-0.055608
2008-01-17,0.002921,0.00783
2008-01-18,-0.035449,0.002921
2008-01-22,-0.106451,-0.035449
2008-01-23,-0.024965,-0.106451
2008-01-24,-0.041224,-0.024965
2008-01-25,0,-0.041224
2008-01-28,0.011768,0
2008-01-29,0.004865,0.011768
2008-01-30,0.024058,0.004865
2008-01-31,-0.011894,0.024058
2008-02-01,-0.015701,-0.011894
2008-02-04,-0.017395,-0.015701
2008-02-05,-0.056895,-0.017395
2008-02-06,-0.00623,-0.056895
2008-02-07,0.034972,-0.00623
2008-02-08,0.031638,0.034972
2008-02-11,-0.035458,0.031638
2008-02-12,0.036361,-0.035458
2008-02-13,-0.014992,0.036361
2008-02-14,-0.022203,-0.014992
2008-02-15,-0.019658,-0.022203
2008-02-19,0.013423,-0.019658
2008-02-20,-0.018414,0.013423
2008-02-21,-0.017114,-0.018414
2008-02-22,0.002344,-0.017114
2008-02-25,-0.004927,0.002344
2008-02-26,0.031976,-0.004927
2008-02-27,0.056522,0.031976
2008-02-28,-0.037641,0.056522
2008-02-29,-0.026316,-0.037641
2008-03-03,0.023741,-0.026316
2008-03-04,-0.001044,0.023741
2008-03-05,-0.028596,-0.001044
2008-03-06,0.010915,-0.028596
2008-03-07,-0.020941,0.010915
2008-03-10,0.063999,-0.020941
2008-03-11,-0.010366,0.063999
2008-03-12,0.015155,-0.010366
2008-03-13,-0.010396,0.015155
2008-03-14,0.000948,-0.010396
2008-03-17,0.048055,0.000948
2008-03-18,-0.023716,0.048055
2008-03-19,0.027763,-0.023716
2008-03-20,0.046972,0.027763
2008-03-24,0.010392,0.046972
2008-03-25,0.02894,0.010392
2008-03-26,-0.033159,0.02894
2008-03-27,0.019679,-0.033159
2008-03-28,0.003426,0.019679
2008-03-31,0.042022,0.003426
2008-04-01,-0.013643,0.042022
2008-04-02,0.027934,-0.013643
2008-04-03,0.009696,0.027934
2008-04-04,0.018356,0.009696
2008-04-07,-0.019565,0.018356
2008-04-08,-0.00916,-0.019565
2008-04-09,0.020536,-0.00916
2008-04-10,-0.047946,0.020536
2008-04-11,0.00435,-0.047946
2008-04-14,0.00406,0.00435
2008-04-15,0.035854,0.00406
2008-04-16,0.00514,0.035854
2008-04-17,0.042397,0.00514
2008-04-18,0.044213,0.042397
2008-04-21,-0.047336,0.044213
2008-04-22,0.016792,-0.047336
2008-04-23,0.037142,0.016792
2008-04-24,0.004676,0.037142
2008-04-25,0.014788,0.004676
2008-04-28,0.016314,0.014788
2008-04-29,-0.006284,0.016314
2008-04-30,0.03478,-0.006284
2008-05-01,0.005222,0.03478
2008-05-02,0.020946,0.005222
2008-05-05,0.010448,0.020946
2008-05-06,-0.021804,0.010448
2008-05-07,0.013528,-0.021804
2008-05-08,-0.0087,0.013528
2008-05-09,0.025675,-0.0087
2008-05-12,0.009566,0.025675
2008-05-13,-0.019478,0.009566
2008-05-14,0.01863,-0.019478
2008-05-15,-0.011121,0.01863
2008-05-16,-0.021427,-0.011121
2008-05-19,0.012527,-0.021427
