Date,Lead_GOOG,AMZN,CSCO,EBAY,FB,GOOG,IBM,INTC,MSFT,AAPL
2012-05-21,-0.021674,0.27888963,0.112020747,0.494722739,-2.506685645,0.341435958,0.057413405,-0.082677496,0.203340532,1.101540131
2012-05-22,0.014414,0.114332177,0.690892285,0.305025597,-2.576857809,-0.200597688,0.396280476,0.402065478,0.57579191,0.293067574
2012-05-23,-0.009517,0.234759827,-0.3683438,0.375591136,1.457194558,0.517054685,-0.429776388,-1.436564823,-1.39309837,1.043183175
2012-05-24,-0.020094,-0.590059271,-1.181457864,0.039291875,2.273670976,-0.598875835,0.046110937,0.625248995,-0.03799082,-0.575938993
2012-05-25,0.00475,-0.273253797,0.229507633,1.670660074,-1.866059094,-0.908962614,-0.149243468,0.726241745,0.45930778,0.111801739
2012-05-29,-0.01028,0.170195906,0.361569747,0.690008277,-2.625034128,0.064001403,0.233587658,0.299669565,0.395769331,0.41023224
2012-05-30,-0.012529,-0.743110374,0.077083479,-1.95044438,-0.552845593,0.183814449,0.211218347,0.893731652,0.354367655,1.526184766
2012-05-31,-0.017009,0.78967068,-0.258660933,-0.576530037,2.389623346,-0.696168804,-0.491426171,-0.625569597,-0.330246851,-0.200691633
2012-06-01,0.013328,0.275767034,0.234200746,1.106235093,-2.461406071,0.606911802,0.42256861,-0.058214797,0.056521356,-0.182583772
2012-06-04,-0.014138,1.649250055,0.341735133,0.30201018,-2.074050211,0.585228646,-0.417748959,-0.48728312,-0.022916388,0.123774664
2012-06-05,0.017812,-0.198522708,0.228824799,1.131603318,-2.162945675,-0.67751546,0.405683662,1.147139878,0.093908508,0.031823678
2012-06-06,-0.004031,-0.73364553,1.223351978,0.486735483,1.405175037,-1.140347786,-0.111251213,-0.131819432,0.482073354,-1.480271891
2012-06-07,0.003839,1.282076935,-0.417895457,0.359619233,-2.225222209,-0.087056814,0.8418363,-0.226880749,-0.095539856,0.569062618
2012-06-08,-0.020587,-1.248520976,-0.169156369,-0.721676025,1.985464892,-0.704011828,-0.728556846,0.762527334,0.377406756,0.446523062
2012-06-11,-0.005981,0.607843897,-0.225661391,1.436088349,1.357445594,-0.946665722,0.012290272,-0.340320639,-1.604540021,-0.296480338
2012-06-12,-0.007096,-0.999282167,1.091689751,-1.012049004,0.609661181,-1.601254636,0.177305264,1.249290456,0.506990061,-0.022350906
2012-06-13,-0.003636,-0.122373373,-0.16971738,-2.220202626,0.503098092,0.023127819,-0.049724811,1.625069418,0.356372486,0.054350375
2012-06-14,0.009767,-0.778301212,0.530155892,-0.754891117,2.163770098,-0.955549075,0.108014112,0.580928436,-0.131255303,-0.762871831
2012-06-15,0.011231,-0.072848378,-0.527528275,-0.357776295,2.502586749,-0.579995974,0.066663896,-0.364583241,0.227801777,-0.894320259
2012-06-18,0.018709,0.227102233,-0.663673213,1.507566339,1.597718957,-0.208456244,-0.991673114,-0.63362234,-1.090375129,0.25541251
2012-06-19,-0.006913,-0.536290087,-0.907530452,1.176237147,0.416064417,0.684263466,-0.820625795,-0.81537652,1.667141531,-0.863883706
2012-06-20,-0.021298,-0.39049412,2.018982837,-1.217088171,-0.922659759,-0.634835159,-0.009098585,0.547653554,0.828671148,-0.221131745
2012-06-21,0.011093,0.728561291,-0.988295559,-0.427431689,2.147968314,-0.061910288,-0.506823029,-1.006422483,-0.398826332,0.513179775
2012-06-22,-0.018863,-0.640612978,-0.192316358,0.815759496,2.163834573,-0.285051692,-1.148700681,-0.527947282,0.411691897,-0.596656975
2012-06-25,0.007098,1.050121832,0.847243387,-0.370848656,-1.059464918,0.079364898,1.570767883,-1.357416967,-0.776502876,0.016735418
2012-06-26,0.008182,1.231646582,-1.130861221,0.605574691,1.763686854,-0.092119415,-0.957444653,-0.73840371,-0.231848642,-0.450230486
2012-06-27,-0.008765,0.055025329,-0.41363974,-0.403161643,-2.364863658,0.803014412,0.553745994,0.810918942,0.510271081,0.448689282
2012-06-28,0.027928,-0.292706977,0.143071185,-2.03194371,-1.119218922,0.790243656,0.84000198,0.150299236,0.805642548,0.714611004
2012-06-29,6.90E-04,0.482467822,1.205702165,0.363894206,-2.412554831,0.20325536,-0.234582571,0.477793908,-0.170154457,0.084178399
2012-07-02,0.012679,0.571701257,0.04886757,-1.910838656,-1.016067795,0.186557932,0.250207251,0.172810546,0.005676961,1.691084934
2012-07-03,0.013762,-0.982262472,-0.405614678,-1.258082064,1.378332802,1.149449658,-1.055657305,0.177013435,0.037835086,0.958985538
2012-07-05,-0.01668,-0.888605091,-1.019723796,-0.516807577,0.826805731,1.278122676,-0.226384946,-0.957521931,-0.110198223,1.614313157
2012-07-06,5.10E-05,0.246474205,0.104770503,-0.21505104,2.296446446,-0.691189853,-1.073059171,-0.475340258,-0.702569272,0.50951844
2012-07-09,-0.007355,-0.158559352,-1.008272821,0.634870694,1.488027664,-0.15250354,-1.237918692,-0.090520528,-0.886325402,1.411201977
2012-07-10,-0.018068,-1.087782179,0.34593373,-1.07672884,-0.681746893,1.333598471,-0.152865647,-0.898616188,1.150029107,1.068178438
2012-07-11,-0.001243,0.788767678,1.356078919,-0.700082577,-1.046450013,-1.418961611,0.741947413,0.531939727,-0.859681583,0.606442047
