<<<<<<< HEAD
Date,Lag_.GSPC,X.GSPC,X.HSI,X.N225,X.DJI,X.GDAXI,JNJ,MSFT,GE
1991-11-13,-6.54E-04,0.335618442,-0.724260099,-1.096488924,0.579802594,-0.530273986,-1.099148164,1.514915212,1.019834925
1991-11-14,-0.037271711,-0.287934291,1.189253506,-0.542469526,-0.280914653,0.505035843,0.537233215,-1.966955696,0.846751602
1991-11-15,0.006824174,-0.297806428,0.929701687,0.182844555,-0.469098093,1.984534383,-0.950164709,-0.696151265,-0.68386013
1991-11-18,-0.015222686,-0.268863552,0.33428552,-1.013186401,-0.033025248,-1.762301131,1.177604246,0.970489255,0.594997311
1991-11-19,-0.002348478,-0.970036285,-0.715742772,1.58796523,-0.633768394,0.39450265,-1.075436743,0.310247899,1.102268413
1991-11-20,0.004033802,0.355746658,1.195200169,-3,0.503213046,0,-0.310546595,0.757044804,-0.805629106
1991-11-21,-0.010367675,0.360798489,0.099721461,-3,-0.040696207,0,1.200020126,0.838076651,-0.639419558
1991-11-22,-0.002129183,-0.692389158,0.615687105,-0.80807645,-0.666799792,1.415146254,0.963156182,-1.354603797,0.527879657
1991-11-25,0.006956075,0.097302241,-0.280474482,2.197446564,0.410823777,-0.471393753,-0.64260696,-0.197468563,-1.113628823
1991-11-26,-0.003737537,1.105938606,-0.666126696,-0.749518003,0.803445945,1.242869698,-0.268071102,-1.580136416,0.111597968
1991-11-27,0,-0.234046948,-0.684958198,-0.719533265,-0.420127661,-0.731162191,2.060860097,0.970445774,-0.241477608
1991-11-28,-0.003538285,0,0.774393436,-3,0,0.354582295,0,0,0
1991-11-29,0.016336154,0.135333368,-0.512736392,-1.669620796,0.245833021,-0.331731937,0.792795441,1.726987846,-0.386860549
1991-12-02,-0.001154318,0.15322607,-0.43511658,-0.395738639,-0.001339509,-1.79717747,0.674646168,1.714042395,0.087457564
1991-12-03,-0.002338894,-0.501970887,0.557692628,1.963295296,-0.588795991,-0.411635031,0.541226055,-0.252213352,-1.307598718
1991-12-04,-0.007076289,-0.098028016,0.026880311,-0.778583991,-0.467231944,0.462361876,1.707593355,0.729297946,-1.582289535
1991-12-05,0.004520863,-0.275545315,1.546232035,0.510957484,-0.362013519,0.812585371,-0.927685568,0.288296965,-1.592827454
1991-12-06,-0.002218222,-0.376965823,-0.483372381,-1.045094062,-0.798786351,-0.836564311,1.277901707,1.151168068,1.111713153
1991-12-09,-9.52E-04,0.435550321,-0.784564593,-0.789837113,0.21067869,0.828412368,-0.628288682,-1.081742549,1.809791557
1991-12-10,-5.29E-04,-0.005817541,-0.438684548,-1.300345256,-0.122266989,-0.420494026,2.209228428,-0.104158982,0.182538913
1991-12-11,0.010141611,0.060715354,0.086064389,1.158168405,0.175883061,-0.191170304,-1.695891969,-0.941766595,1.347997659
1991-12-12,0.007623893,-0.391025524,-0.065424684,2.404372989,-0.376767809,-0.856667261,-0.33311323,-0.224515692,-0.15685879
1991-12-13,-2.60E-05,0.207494134,-0.474260205,-0.529755203,0.024208489,-0.383149056,0.130556272,-1.184858761,2.20976433
1991-12-16,-0.004483848,-0.250302879,0.237291576,-0.915698585,-0.002029103,-0.759533728,2.277030682,-0.060322662,-0.5264353
1991-12-17,0.001931616,-0.794354123,-0.318667885,-0.830208865,-1.016339341,1.224038348,0.596712796,-0.441152046,1.579971115
1991-12-18,-0.002506586,0.32201125,0.260485828,-2.320061964,0.327913903,0.562833027,-0.149552159,0.999541855,-0.003171738
1991-12-19,0.011747159,0.155560243,-1.255108786,-1.279740588,1.074946905,-0.7393041,1.345097986,0.410151473,0.288396867
1991-12-20,0.024954725,0.50888046,-0.216313116,-1.864497614,0.18513793,-0.846149363,0.887014251,0.050429177,1.295498275
1991-12-23,0.006305315,0.467389104,-0.296324488,-1.864497614,0.724242063,-1.029706753,0.22146373,0.932781632,0.844652326
1991-12-24,0,0.32094716,0,-3,0.468126102,0,-0.092825744,-0.210456884,1.258261883
1991-12-25,0.013703807,0,0,-3,0,0,0,0,0
1991-12-26,0.003993584,0.30818054,0,-3,0.038904338,0,0.656147471,0.429364273,0.560898128
1991-12-27,0.021130348,0.163103128,0.45070755,-3,0.274824853,0,0.555594256,1.215332885,-0.89828651
1991-12-30,0.004686167,0.575762297,-0.367836111,-1.864497614,0.504046649,-0.18389675,0.229428809,-0.472078592,1.579071312
1991-12-31,0,0.909991608,0,-3,0.564046473,0,-0.567925415,0.889967404,-0.147628886
1992-01-01,4.08E-04,0,0,-3,0,0,0,0,0
1992-01-02,0.004972485,0.241126576,0.281501377,-3,0.276333667,0,-0.751532558,1.417876382,0.301155773
1992-01-03,-0.003296325,0.828246517,0.270774515,-1.864497614,1.292303579,0.681787691,-0.22472883,-0.709814204,-0.274071655
1992-01-06,-0.001340732,-0.56502451,0.444913891,-1.089278569,-0.338522021,-0.272273522,0.401874038,2.112764222,-0.694453529
1992-01-07,0.001675672,-0.017712893,-0.071278825,-1.901994595,0.131537139,-0.313350406,0.755909113,1.626689145,-0.209798679
1992-01-08,-0.001172706,-0.42508647,-0.593683189,0.673074491,-0.561753414,-1.068755678,0.745143868,1.888914008,-0.657853616
1992-01-09,-0.006028477,-0.003255469,0.268306391,-1.878305296,0.173320038,0.73176546,-0.062419324,1.510827421,-0.740239221
1992-01-10,-0.001832586,0.125089393,0.185267946,-1.952586766,0.366207257,1.38268351,-0.18226178,-0.688641394,0.764241834
1992-01-13,0.014614904,-0.96157652,0.773984409,-0.13624179,-1.344545012,-0.06047053,-0.683216362,1.57378527,0.838280536
1992-01-14,7.85E-04,0.765807546,-0.017386333,-1.864497614,1.062531779,0.131637318,-1.103410053,0.358659625,0.666657732
1992-01-15,-0.006102663,0.199839306,0.375372307,-1.864497614,0.288996039,0.794151446,-1.230628936,0.920887268,0.515880184
1992-01-16,0.001553022,0.122568914,1.0566282,-0.318778442,0.32220591,0.498236353,-1.60322189,-1.23077245,1.153133404
1992-01-17,-0.005986465,-0.207827454,0.541464956,-1.647841356,0.011413577,-0.099616994,1.396171748,-0.994096736,1.00033226
1992-01-20,-0.008974656,-0.058902654,0.511937783,0.162606048,0.114917251,0.968472766,-1.071559036,-1.798957369,1.171485212
1992-01-21,0.013216822,-0.171108804,0.604474397,1.906040736,-0.195187933,0.343295692,-0.140341176,-1.028526218,-1.318646695
