Date,Lag_GSPC,GSPC
11/13/91,-6.54E-04,0.001688799
11/14/91,-0.036585671,-6.54E-04
11/15/91,0.006847512,-0.036585671
11/18/91,-0.015107406,0.006847512
11/19/91,-0.002345722,-0.015107406
11/20/91,0.004041949,-0.002345722
11/21/91,-0.010314116,0.004041949
11/22/91,-0.002126918,-0.010314116
11/25/91,0.006980325,-0.002126918
11/26/91,-0.003730562,0.006980325
11/27/91,0,-0.003730562
11/28/91,-0.003532033,0
11/29/91,0.016470319,-0.003532033
12/2/91,-0.001153652,0.016470319
12/3/91,-0.002336161,-0.001153652
12/4/91,-0.007051311,-0.002336161
12/5/91,0.004531098,-0.007051311
12/6/91,-0.002215764,0.004531098
12/9/91,-9.52E-04,-0.002215764
12/10/91,-5.29E-04,-9.52E-04
12/11/91,0.010193211,-5.29E-04
12/12/91,0.007653029,0.010193211
12/13/91,-2.60E-05,0.007653029
12/16/91,-0.00447381,-2.60E-05
12/17/91,0.001933482,-0.00447381
12/18/91,-0.002503447,0.001933482
12/19/91,0.011816428,-0.002503447
12/20/91,0.0252687,0.011816428
12/23/91,0.006325236,0.0252687
12/24/91,0,0.006325236
12/25/91,0.013798135,0
12/26/91,0.004001569,0.013798135
12/27/91,0.021355174,0.004001569
12/30/91,0.004697165,0.021355174
12/31/91,0,0.004697165
1/1/92,4.08E-04,0
1/2/92,0.004984868,4.08E-04
1/3/92,-0.003290898,0.004984868
1/6/92,-0.001339834,-0.003290898
1/7/92,0.001677077,-0.001339834
1/8/92,-0.001172019,0.001677077
1/9/92,-0.006010342,-0.001172019
1/10/92,-0.001830908,-0.006010342
1/13/92,0.014722223,-0.001830908
1/14/92,7.85E-04,0.014722223
1/15/92,-0.006084079,7.85E-04
1/16/92,0.001554229,-0.006084079
1/17/92,-0.005968582,0.001554229
1/20/92,-0.008934504,-0.005968582
1/21/92,0.013304551,-0.008934504
1/22/92,-0.007581408,0.013304551
1/23/92,0.001253181,-0.007581408
1/24/92,-0.001179409,0.001253181
1/27/92,-7.23E-05,-0.001179409
1/28/92,-0.011133591,-7.23E-05
1/29/92,0.003119362,-0.011133591
1/30/92,-0.006899558,0.003119362
1/31/92,0.001834728,-0.006899558
2/3/92,0.010548695,0.001834728
2/4/92,-2.42E-05,0.010548695
2/5/92,-4.83E-05,-2.42E-05
2/6/92,-0.006597098,-4.83E-05
2/7/92,0.006519237,-0.006597098
2/10/92,-2.41E-05,0.006519237
2/11/92,0.008144806,-2.41E-05
2/12/92,-0.008246837,0.008144806
2/13/92,-0.002924874,-0.008246837
2/14/92,0,-0.002924874
2/17/92,-0.01236425,0
2/18/92,0.002160158,-0.01236425
2/19/92,0.013814686,0.002160158
2/20/92,-0.005967628,0.013814686
2/21/92,0.00204165,-0.005967628
2/24/92,-0.004414527,0.00204165
2/25/92,0.011938102,-0.004414527
2/26/92,-0.003587386,0.011938102
2/27/92,-0.002802815,-0.003587386
2/28/92,-6.06E-04,-0.002802815
3/2/92,9.70E-04,-6.06E-04
3/3/92,-0.008526145,9.70E-04
3/4/92,-0.006889251,-0.008526145
3/5/92,-0.005092145,-0.006889251
3/6/92,0.00190384,-0.005092145
3/9/92,0.004146058,0.00190384
3/10/92,-0.007028966,0.004146058
3/11/92,-3.46E-04,-0.007028966
3/12/92,0.004828,-3.46E-04
3/13/92,0.001355261,0.004828
3/16/92,0.007849533,0.001355261
3/17/92,-0.001049839,0.007849533
3/18/92,0.001588645,-0.001049839
3/19/92,0.003660322,0.001588645
3/20/92,-0.00337949,0.003660322
3/23/92,-0.002512744,-0.00337949
3/24/92,-0.003326198,-0.002512744
3/25/92,8.34E-04,-0.003326198
3/26/92,-0.010689906,8.34E-04
3/27/92,-0.001239157,-0.010689906
3/30/92,0.001712164,-0.001239157
3/31/92,0.001337682,0.001712164
4/1/92,-0.009227447,0.001337682
4/2/92,0.002621693,-0.009227447
4/3/92,0.010061034,0.002621693
4/6/92,-0.018565542,0.010061034
4/7/92,-0.00894337,-0.018565542
4/8/92,0.015564043,-0.00894337
4/9/92,0.009110408,0.015564043
4/10/92,0.00442746,0.009110408
4/13/92,0.01553888,0.00442746
4/14/92,0.009432779,0.01553888
4/15/92,-5.77E-04,0.009432779
4/16/92,0,-5.77E-04
4/17/92,-0.014085222,0
4/20/92,1.95E-04,-0.014085222
4/21/92,-0.001096895,1.95E-04
4/22/92,0.004367897,-0.001096895
4/23/92,-0.006268263,0.004367897
4/24/92,-0.001393519,-0.006268263
4/27/92,0.001615799,-0.001393519
4/28/92,0.007113011,0.001615799
4/29/92,0.007111361,0.007113011
4/30/92,-0.005832059,0.007111361
5/1/92,0.010617422,-0.005832059
5/4/92,-1.68E-04,0.010617422
5/5/92,-1.20E-04,-1.68E-04
5/6/92,-0.00225534,-1.20E-04
5/7/92,4.81E-04,-0.00225534
5/8/92,0.005864685,4.81E-04
5/11/92,-0.00525695,0.005864685
5/12/92,3.84E-04,-0.00525695
5/13/92,-0.007948126,3.84E-04
5/14/92,-0.007382531,-0.007948126
5/15/92,0.006632695,-0.007382531
5/18/92,0.008623815,0.006632695
5/19/92,-0.002353628,0.008623815
5/20/92,-0.006716601,-0.002353628
5/21/92,0.003441549,-0.006716601
5/22/92,0,0.003441549
5/25/92,-0.006304007,0
5/26/92,0.001847327,-0.006304007
5/27/92,0.011087602,0.001847327
5/28/92,-0.003335375,0.011087602
5/29/92,0.004694792,-0.003335375
6/1/92,-0.00910613,0.004694792
6/2/92,0.002636024,-0.00910613
6/3/92,-0.003207955,0.002636024
6/4/92,5.32E-04,-0.003207955
6/5/92,-2.90E-04,5.32E-04
6/8/92,-0.007983325,-2.90E-04
6/9/92,-0.006852651,-0.007983325
6/10/92,0.00441986,-0.006852651
6/11/92,0.001735783,0.00441986
6/12/92,0.001293438,0.001735783
6/15/92,-0.004801487,0.001293438
6/16/92,-0.014841293,-0.004801487
6/17/92,-0.003231788,-0.014841293
6/18/92,0.006758834,-0.003231788
6/19/92,-6.69E-04,0.006758834
6/22/92,0.001586552,-6.69E-04
6/23/92,-4.95E-04,0.001586552
6/24/92,-0.001782887,-4.95E-04
6/25/92,8.19E-04,-0.001782887
6/26/92,0.013607609,8.19E-04
6/29/92,-0.001956245,0.013607609
6/30/92,0.011613637,-0.001956245
7/1/92,-0.002688471,0.011613637
7/2/92,0,-0.002688471
7/3/92,0.005027095,0
7/6/92,-0.011308699,0.005027095
7/7/92,0.002737303,-0.011308699
7/8/92,0.009627601,0.002737303
7/9/92,9.41E-04,0.009627601
7/10/92,6.03E-04,9.41E-04
7/13/92,0.006773201,6.03E-04
7/14/92,-0.001388592,0.006773201
7/15/92,0.00105491,-0.001388592
7/16/92,-0.004598395,0.00105491
7/17/92,-0.00449929,-0.004598395
7/20/92,2.42E-05,-0.00449929
7/21/92,-0.006839755,2.42E-05
7/22/92,0.002798516,-0.006839755
7/23/92,-0.001164776,0.002798516
7/24/92,-1.46E-04,-0.001164776
7/27/92,0.014530738,-1.46E-04
7/28/92,0.01128095,0.014530738
7/29/92,0.004002562,0.01128095
7/30/92,6.84E-04,0.004002562
7/31/92,0.002074456,6.84E-04
8/3/92,-0.001717309,0.002074456
8/4/92,-0.005113543,-0.001717309
8/5/92,-0.003789777,-0.005113543
8/6/92,-0.004065696,-0.003789777
8/7/92,0.001289171,-0.004065696
8/10/92,-0.001239853,0.001289171
8/11/92,-0.002673657,-0.001239853
8/12/92,-1.20E-04,-0.002673657
8/13/92,0.005218665,-1.20E-04
8/14/92,0.001976581,0.005218665
8/17/92,0.001426073,0.001976581
8/18/92,-0.007476133,0.001426073
8/19/92,1.67E-04,-0.007476133
8/20/92,-0.008152833,1.67E-04
8/21/92,-0.009955417,-0.008152833
8/24/92,0.002166887,-0.009955417
8/25/92,0.004616081,0.002166887
