Date,AIG,BAC,BCS,C,CS,GS,JPM,LFC,MET,MS,RBS,SAN,TD,V,WFC
2010-02-24,-0.017149,0.876317,0.093793,1.345693,-0.032792,-0.349864,0.863764,0.503537,0.620009,0.926794,-0.226418,-2.109237,-0.684111,-1.752759,-0.074725
2010-02-25,-0.0996,0.479359,-0.569247,-0.969628,0.464899,-0.713568,-0.394502,-0.474504,0.176632,-0.304971,3.137096,-0.055906,0.123345,-0.372436,-0.52657
2010-02-26,0.040775,0.094768,0.216412,-0.159311,-0.423629,-0.247829,1.887061,-0.650355,0.692611,0.728074,-2.497079,0.905179,0.388294,-0.321709,-0.612487
2010-03-01,-0.029092,0.13567,-1.001084,-0.190057,0.880697,0.037765,-0.21171,1.274397,0.19712,-0.009378,-2.8315,0.048181,0.717614,0.961059,-0.008775
2010-03-02,-0.005993,-2.005877,0.942232,-0.568458,-0.114866,0.327812,-1.208078,-0.463165,-0.256112,0.646739,1.246955,1.346228,0.533181,-1.147245,0.720653
2010-03-03,0.073553,-0.753549,2.242363,-0.197182,0.779094,-0.939921,-0.444685,-0.68303,-0.32162,-1.712882,0.618366,-0.440449,0.428789,0.266343,1.158363
2010-03-04,0.051292,-0.928812,0.112607,-0.500468,-0.74886,1.247034,-0.465728,-1.752535,1.226325,0.862744,1.72176,0.310327,0.328709,-0.871707,-0.541397
2010-03-05,0.036325,-0.317269,1.654553,-0.081266,2.024012,0.076292,0.010569,-1.661647,0.013135,-1.555976,0.473647,-0.265939,-0.363576,-0.473934,0.467399
2010-03-08,0.126117,-0.267393,-0.434596,0.589718,-0.237637,0.518118,-0.705247,0.220384,2.550066,-0.070666,-1.749204,-0.151856,-0.322197,0.985438,-0.924929
2010-03-09,0.10589,-0.055149,-0.128524,3.025817,-0.278424,-0.472732,-0.391238,1.180298,-0.311741,-1.009028,-0.626314,0.095595,-0.503519,-0.449086,-0.075955
2010-03-10,-0.031181,0.135138,-2.06772,1.857983,-0.198505,0.120747,-0.473542,-0.873744,0.638538,1.386584,0.809525,-0.79128,-0.686377,-0.173036,0.315688
2010-03-11,-0.025064,-0.725154,0.084203,2.98406,0.131436,-0.148449,-0.371655,-1.315017,0.10755,-0.652012,0.861983,-0.551947,-0.208839,0.134877,-0.331035
2010-03-12,0.002629,-0.725329,0.85343,-2.329263,0.224337,0.397444,-0.023782,-0.037649,-0.222343,-0.161942,2.161501,-0.888244,0.682092,0.264449,-0.194702
2010-03-15,-0.020688,0.289157,-0.293934,-1.987066,0.243861,-0.634051,0.079732,-0.27202,0.664744,-0.730518,0.902634,-0.763163,1.948628,-0.728371,1.280366
2010-03-16,0.023802,-0.387113,1.21587,1.89447,0.692832,-0.038971,-0.891867,-0.749343,-0.40727,0.506247,0.200068,-1.055522,1.03438,-1.803886,-0.209895
2010-03-17,0.006684,0.987411,-0.320488,-0.859505,1.809763,-0.524798,0.807477,1.612398,0.184194,-0.989246,0.034008,-0.705781,-1.284768,-1.059752,0.309086
2010-03-18,0.004619,-0.302309,-0.349582,0.148472,0.595868,1.65229,0.64778,0.658313,-0.612904,0.249036,-2.696781,0.654677,0.158754,-0.813655,0.01004
2010-03-19,-0.040517,-0.700982,0.346944,-1.931328,-0.150022,0.792523,0.213051,-0.242956,-0.649091,-0.678947,2.210419,-0.372643,0.958458,-0.624533,0.829108
2010-03-22,-0.003294,0.424774,-0.675268,2.542229,-1.288988,-0.966539,0.298144,-0.831693,-0.416326,-0.292077,1.305114,-0.556855,0.464628,0.131352,-0.138494
2010-03-23,-0.003305,0.270309,0.007112,1.514019,-0.627075,-1.512076,1.202102,-1.309985,0.347653,-0.987207,-1.125859,0.344304,0.293045,0.094506,1.489151
2010-03-24,0.040398,2.61029,-0.938705,0.879755,-1.124353,0.278224,1.148099,-0.590738,-0.01453,0.027814,-0.144301,-0.933142,-0.431077,-0.657326,-0.110011
