Date,Lag_.GSPC,X.GSPC,X.HSI,X.N225,X.DJI,X.GDAXI,JNJ,MSFT,GE,PG,XOM
1992-01-03,-0.003296325,0.004972485,-2.32E-05,0,0.009131082,0.00366001,-0.00446364,-0.00881068,-0.00490582,-0.005391232,0.00208184
1992-01-06,-0.001340732,-0.003296325,0.009451341,-0.009913575,-4.37E-04,3.99E-04,0.008908083,0.030503317,-0.004930006,-0.006778713,-0.008350663
1992-01-07,0.001675672,-0.001340732,-0.002348649,-0.036796072,0.001467611,-0.006903557,0.013216025,0.029600943,-0.004955089,0,-0.006309365
1992-01-08,-0.001172706,0.001675672,-7.38E-04,0.017397447,-2.81E-04,-0.00753939,0.018429225,0.034803962,-0.001656729,0.001359391,-0.012738704
1992-01-09,-0.006028477,-0.001172706,0.003316654,-0.032170333,0.001746375,0.010978387,-0.002150781,0.023857549,-0.013356247,0.005419322,-0.00643138
1992-01-10,-0.001832586,-0.006028477,-0.005302728,-0.031085093,-0.003120614,0.009138012,-0.009735109,-0.015842008,0.001679652,0.013423018,0.010695575
1992-01-13,0.014614904,-0.001832586,0.009593493,0.003601012,-0.004353863,0.004099852,0,0.014858988,0.010016787,0.003992306,0.008474509
1992-01-14,7.85E-04,0.014614904,0.003451336,0,0.018844381,0.005575504,-0.012028739,0.008811457,0.013201632,0.028797974,0.016736703
1992-01-15,-0.006102663,7.85E-04,0.006685771,0,0.0037819,0.020764646,-0.047306149,0.025025359,0.011409485,-0.016917058,-0.012526229
1992-01-16,0.001553022,-0.006102663,0.009653803,-0.013547666,-0.002735025,2.34E-04,-0.035214695,-0.028931917,0.011281731,-0.027945704,-0.006322521
1992-01-17,-0.005986465,0.001553022,0.01240342,-0.019299616,0.004727821,0.003120003,0.024780309,-0.009832833,0.019048213,-0.020562927,0.012605601
1992-01-20,-0.008974656,-0.005986465,0.002590632,-0.002658211,-0.003374754,0.009450246,-0.021202016,-0.032131455,0.012500586,0.012388913,0.002084633
1992-01-21,0.013216822,-0.008974656,0.006282466,0.031886626,-0.009448336,0.001144609,-0.008369401,-0.025841605,-0.031548799,0.012236342,0.014478384
1992-01-22,-0.007610293,0.013216822,0.016368177,0.002161742,0.010001364,-0.00412209,0.031899433,0.050036467,0.019048213,0.035837063,-0.022846097
1992-01-23,0.001252396,-0.007610293,-0.005571223,-0.023848074,-0.008978108,-0.004946378,-0.008172891,-0.003991754,-0.006309699,0.021921785,-0.008438895
1992-01-24,-0.001180105,0.001252396,-0.009918354,-0.00309136,0.001888722,-0.001388624,0.005844874,-0.003005177,-0.007942496,0.002547642,0.020965124
1992-01-27,-7.23E-05,-0.001180105,0.006913847,0.018086889,0.002409878,0.010243691,-0.009367997,-0.032622264,-0.00159559,-0.011515472,0.004141433
1992-01-28,-0.011196034,-7.23E-05,-0.003319659,-0.001322009,0.009673482,-7.12E-04,-0.007084111,0.001035364,-0.001599411,0.055082004,-0.002069202
1992-01-29,0.003114507,-0.011196034,8.75E-05,0.009105863,-0.01449906,-0.008639955,-0.021557537,0.030583744,-0.009645747,0.014510936,-0.016701482
1992-01-30,-0.00692347,0.003114507,0.00660611,0.021358002,0.006151553,0.00718536,0.026285804,-0.008064604,-0.011373051,-0.008439079,-0.006335874
1992-01-31,0.001833047,-0.00692347,0.015161181,0.005277734,-0.00664783,0.001567278,0.014051857,-0.026668247,-0.016475068,0.004831109,-0.012793899
1992-02-03,0.010493446,0.001833047,0,-0.006343148,0.00331404,-2.37E-05,-0.014051857,0.038741184,0.009917445,-0.02810211,0.014910273
1992-02-04,-2.42E-05,0.010493446,0,-0.002878303,0.01189519,-0.004095804,0.014051857,-0.004008333,0.01144745,0.009864086,0.006322521
1992-02-05,-4.83E-05,-2.42E-05,0,0.007654254,-0.004655145,0.004208479,0.004640369,0.021847633,0.008097484,0.02064464,-0.014208875
1992-02-06,-0.006618955,-4.83E-05,0,9.95E-05,-6.14E-04,-0.001270205,0,-0.007889061,0,-0.025564593,0.010717981
1992-02-07,0.006498078,-0.006618955,0.00470095,-0.013094729,-0.009319677,0.00170905,-0.017513339,-0.003967993,-0.003231129,-0.007425543,-0.00213434
1992-02-10,-2.41E-05,0.006498078,-0.012563828,0,0.006089253,-0.00169716,0.003527534,-0.009990579,0.00161687,0,-0.002138763
1992-02-11,0.008111816,-2.41E-05,0.012310248,0,0.002001017,-0.002729792,-0.016392144,-0.016194776,-0.004858473,-0.003734143,-0.004292015
1992-02-12,-0.00828103,0.008111816,0.006550239,-0.007016649,0.007720138,0.003501618,0.014269074,0.026185355,0.011299617,0.007453513,0.010695054
1992-02-13,-0.002929159,-0.00828103,0.001845636,-0.023994604,-0.009228271,-0.00250753,-0.028744426,-0.026185355,-0.006441144,-0.006207249,-0.008546386
1992-02-14,0,-0.002929159,-0.011188993,0.020902596,-2.16E-04,-0.0027644,-0.018394559,-0.033198259,-0.003237002,-0.003742721,0
1992-02-17,-0.012441323,0,0.005894591,-0.021469226,0,0.007305393,0,0,0,0,0
1992-02-18,0.002157828,-0.012441323,-0.004518187,-0.012230883,-0.006583562,0.004779958,-0.033986142,-0.002111793,0,-0.017655379,-0.019502325
1992-02-19,0.013720133,0.002157828,-0.002054757,0.007423002,0.00173512,-0.003726281,0.010190707,-0.026782294,0.016077749,0.006341678,0.002185511
1992-02-20,-0.005985505,0.013720133,0.004337484,0.024720447,0.015451335,0.012411994,0.011342359,0.020420025,0.025198417,0.017544301,0.013015283
1992-02-21,0.002039569,-0.005985505,-0.004422284,-0.015075167,-1.22E-04,-3.50E-05,-0.002509478,-0.025863648,0,0.016019751,-0.002157508
1992-02-24,-0.0044243,0.002039569,0.009413543,0.002491051,6.70E-04,0.010792977,0.012484884,0.003269225,-0.001556164,-0.003674254,-0.004329321
1992-02-25,0.011867405,-0.0044243,0.007221457,0.01600488,-0.007522696,-0.007677402,0.002477671,0.007588547,-0.010963364,-0.012345497,-0.006528454
1992-02-26,-0.003593837,0.011867405,0.020723543,-0.001455336,0.007796893,0.015451208,0.02445174,0.052588484,0,0.00371937,0.006528454
1992-02-27,-0.00280675,-0.003593837,0.006921711,2.40E-04,-0.004211961,0.00103772,-0.006057182,0.023292098,-0.006319665,0.008626127,-0.006528454
1992-02-28,-6.06E-04,-0.00280675,0.004675526,0.006958771,-5.51E-04,9.11E-04,-0.015922304,-0.011072214,-0.003173768,-0.002456441,-0.002185511
1992-03-02,9.69E-04,-6.06E-04,-0.008333992,-0.020504441,0.002323124,0.001447365,-0.003710181,-0.00405653,0.011066738,-0.001231363,-0.019890541
1992-03-03,-0.0085627,9.69E-04,0.008798285,0.002548039,0.004569278,0.008294567,-0.011215151,0.002030322,-0.005716225,0.007362057,-0.006719281
1992-03-04,-0.006913091,-0.0085627,0.001976007,-0.011484564,-0.006616972,-9.02E-04,-0.020253808,-0.006103964,-0.0112093,-0.006130695,-0.011299005
1992-03-05,-0.005105154,-0.006913091,-0.011222397,0.006143271,-0.008325603,1.14E-05,-0.005128057,-0.010256409,0.001609042,-0.018623252,0.011299005
1992-03-06,0.00190203,-0.005105154,-0.01235984,-0.009347157,-0.006158025,-0.008845742,-0.011635935,-0.025053642,-0.003220359,-0.006284682,0
1992-03-09,0.004137486,0.00190203,0.014415234,0.002732633,-0.002019669,0.003845411,0.019317606,0.006322653,0,-0.003790756,-0.002248979
1992-03-10,-0.007053785,0.004137486,0.017531935,-0.01266458,0.004933195,-1.65E-04,-0.01412939,0.022846541,0.003220359,0.006309519,-0.002255404
1992-03-11,-3.47E-04,-0.007053785,0.007324252,-0.001470562,-0.006956951,-0.007632223,-0.003888413,-0.012397218,-0.008071545,-0.008844095,0
1992-03-12,0.004816383,-3.47E-04,0.00561607,-0.00515972,0,-0.009215355,-0.002601149,0.007249978,0,0.001267941,0.020112653
1992-03-13,0.001354343,0.004816383,-0.002230814,-0.030722244,0.008472331,0.006072296,0,-0.001032157,0.011281567,0.002531968,0.011001553
1992-03-16,0.007818886,0.001354343,-0.002869783,0.004048358,1.55E-04,-0.006530682,0.01293728,0.026505115,0,-0.003799908,-0.004386284
1992-03-17,-0.00105039,0.007818886,-0.001844925,-0.007727499,0.006037877,0.005665465,0.001284482,0.029734333,0.007980731,0.013862521,0
1992-03-18,0.001587384,-0.00105039,-0.00907583,0.021066392,-5.22E-04,-0.001750041,-0.012920416,-0.012776588,-0.001590494,-0.007537189,-0.019978858
1992-03-19,0.00365364,0.001587384,0.005036729,0,0.002179307,-0.002401893,0.001299803,0.00886295,-0.004788609,0.002518763,-0.006749065
1992-03-20,-0.003385213,0.00365364,0.008990979,0,0.004588708,0.00298558,-0.002601149,0.007812019,0.006379102,0.011257096,-0.011350458
1992-03-23,-0.002515906,-0.003385213,-0.001740324,-0.017345022,-0.001313218,-0.009712494,-0.014426487,0,-0.006379102,-0.004987581,0.009091465
1992-03-24,-0.003331742,-0.002515906,-1.97E-05,0.016711395,-0.003398114,0.001183492,0.023500097,-0.007812019,-0.00481165,0.004987581,-0.002265621
1992-03-25,8.34E-04,-0.003331742,-0.002874163,-0.017017102,-4.91E-04,0.001665148,0.005148151,0.007812019,0.001606457,0.006199404,-0.002270007
