Date,SPY_lead,SPY,JNJ,^IXIC
6/4/1993,-0.003455083,-0.00344594,-0.017341318,-0.005979099
6/7/1993,-0.009045627,-0.003455083,0,-0.010597148
6/8/1993,0.003489141,-0.009045627,0.002911346,-0.00993967
6/9/1993,0.000695431,0.003489141,0.008682881,0.002178682
6/10/1993,0.004166749,0.000695431,0.02560588,-0.001728034
6/11/1993,-0.001387,0.004166749,0.005602206,0.007442643
6/14/1993,-0.002083073,-0.001387,0.002789533,0.004634394
6/15/1993,0.002083073,-0.002083073,0.002781929,0.001334607
6/16/1993,0.003464302,0.002083073,0.00553982,-0.001564344
6/17/1993,-0.008268208,0.003464302,0.010989635,-0.000445339
6/18/1993,0.002103099,-0.008268208,-0.064903229,-0.009166195
6/21/1993,0.000701485,0.002103099,-0.008784749,-0.00123343
6/22/1993,-0.009146204,0.000701485,-0.023810764,-0.00286435
6/23/1993,0.013339087,-0.009146204,-0.01212142,-0.002887287
6/24/1993,-0.0006989,0.013339087,0.021117068,0.00572257
6/25/1993,0.011103531,-0.0006989,0.002980434,0.008803664
6/28/1993,-0.004841421,0.011103531,-0.018018512,0.011490884
6/29/1993,0,-0.004841421,0.018018512,-0.002521559
6/30/1993,-0.002777212,0,-0.011976083,0.004099599
7/1/1993,-0.005578761,-0.002777212,-0.027482565,-0.000511509
7/2/1993,-0.010546326,-0.005578761,-0.012461105,0.001278284
7/6/1993,0.002823216,-0.010546326,-0.00628927,-0.003227419
7/7/1993,0.011212213,0.002823216,0,-0.004896468
7/8/1993,0.002783538,0.011212213,0.012538884,0.005594084
7/9/1993,-0.000693881,0.002783538,-0.009389305,0.004401756
7/12/1993,-0.000697025,-0.000693881,0.003139691,0.002631783
7/13/1993,0.003474236,-0.000697025,0.018634596,0.001129815
7/14/1993,-0.004169609,0.003474236,-0.003081981,0.005658189
7/15/1993,-0.002789008,-0.004169609,-0.021841885,-0.005347665
7/16/1993,-0.000700017,-0.002789008,-0.009509055,-0.01272368
7/19/1993,0.002791765,-0.000700017,0.006348993,-0.005589116
7/20/1993,-0.000696342,0.002791765,0.006309641,0.008685576
7/21/1993,-0.006997467,-0.000696342,-0.038466098,-0.002596339
7/22/1993,0.004902044,-0.006997467,-0.006557338,-0.006534843
7/23/1993,0.005575302,0.004902044,0.009819588,0.006763323
7/26/1993,-0.000693881,0.005575302,-0.00326225,0.006121957
7/27/1993,-0.002089657,-0.000693881,-0.006557338,-0.005037189
7/28/1993,0.00555893,-0.002089657,-0.009917899,0.006526483
7/29/1993,-0.00555893,0.00555893,-0.023530661,0.002335686
7/30/1993,0.002783538,-0.00555893,-0.006825138,-0.003597859
8/2/1993,0.000695392,0.002783538,0.023689355,0.004191517
8/3/1993,0,0.000695392,0.009983536,0.001905931
8/4/1993,-0.002086297,0,-0.003317093,0.006719126
8/5/1993,0.001390905,-0.002086297,-0.016750657,0.002392828
8/6/1993,0.005543869,0.001390905,0.013422897,0.003599408
8/9/1993,-0.000690183,0.005543869,-0.020202901,0.000570766
8/10/1993,0,-0.000690183,-0.006825138,-0.00196434
8/11/1993,-0.002770355,0,-0.017116727,0.002354012
8/12/1993,0.001386189,-0.002770355,0.020834133,-0.002298262
8/13/1993,0.005525171,0.001386189,0.013651931,0.001588451
8/16/1993,0.003436157,0.005525171,0.010118247,0.011943546
8/17/1993,0.005475808,0.003436157,0.033006189,0.005651973
8/18/1993,0,0.005475808,0.038221474,0.00521205
8/19/1993,0.000683295,0,0.009331776,-0.005937378
8/20/1993,-0.002049774,0.000683295,0.015361056,0.000656944
8/23/1993,0.010877146,-0.002049774,-0.015361056,-0.000136866
8/24/1993,0.000677034,0.010877146,-0.009331776,0.005839075
8/25/1993,0.000674502,0.000677034,-0.006269801,-0.002015308
8/26/1993,-0.000674502,0.000674502,0.015601577,-0.003098816
8/27/1993,0.00404583,-0.000674502,0,0.003657548
8/30/1993,0.002688943,0.00404583,0.003091112,0.004498968
8/31/1993,-0.001343703,0.002688943,0.006153706,0.007377345
9/1/1993,-0.003367093,-0.001343703,-0.009244818,0.00444597
9/2/1993,0.000675479,-0.003367093,0.012307019,0.003344932
9/3/1993,-0.006761448,0.000675479,-0.024768608,0.001414878
9/7/1993,-0.003399162,-0.006761448,-0.012618313,-0.013915105
9/8/1993,0.002041444,-0.003399162,-0.025724759,-0.011727382
9/9/1993,0.008791749,0.002041444,0.009724298,0.009506816
9/10/1993,0.000673791,0.008791749,0,0.008906789
9/13/1993,-0.00404583,0.000673791,-0.003230937,-0.005375077
9/14/1993,0.002699456,-0.00404583,0.019231398,-0.010428065
9/15/1993,-0.004051598,0.002699456,-0.009569558,0.009387408
9/16/1993,-0.00194037,-0.004051598,-0.006430903,0.000337986
9/17/1993,-0.008219007,-0.00194037,0.009630823,0.00041894
9/20/1993,-0.003446439,-0.008219007,-0.032470086,0.000135156
9/21/1993,0.008248053,-0.003446439,0.026059616,-0.009024568
9/22/1993,0.005460569,0.008248053,0.009600537,0.016199367
9/23/1993,-0.002727394,0.005460569,0.009508892,0.008973264
9/24/1993,0.010862659,-0.002727394,-0.012698959,0.003172075
9/27/1993,-0.002026436,0.010862659,0.012698959,0.00699856
9/28/1993,-0.003389805,-0.002026436,-0.009508892,0.004869971
9/29/1993,-0.00203769,-0.003389805,0.006348536,-0.00064184
9/30/1993,0.004749613,-0.00203769,-0.003168966,-0.000511097
10/1/1993,0.001353208,0.004749613,-0.006369637,0.000589709
10/4/1993,-0.001353208,0.001353208,-0.01286176,0.002107296
10/5/1993,-0.000676275,-0.001353208,0.022400364,-0.003365847
10/6/1993,-0.002713556,-0.000676275,-0.003168966,0.003274311
10/7/1993,0.001357766,-0.002713556,0.006329322,-0.002985781
10/8/1993,0.002032064,0.001357766,-0.006329322,0.002331776
10/11/1993,0.001353208,0.002032064,0.012618313,0.004412775
10/12/1993,0,0.001353208,0.003129813,0.006246325
10/13/1993,0.012766034,0,0.006230563,0.008392241
